tweet,topic,label,opinion_towards,sentiment,text,target_in_tweet,seen?
@awj9009 not at all I think the statute of limitations has expired plus I can always have a driver ala #SemST,"[""hillary"", ""clinton""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,"[[""think"", ""statute"", ""limitations"", ""expired"", ""plus"", ""always"", ""driver"", ""ala"", ""sem"", ""st""]]",0,1
"Pundits say Jim Webb facing uphill battle with Hillary.  Really, it's with Bernie for the anti-Hillary vote.  #JimWebb #SemST","[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""pundits"", ""say"", ""jim"", ""webb"", ""facing"", ""uphill"", ""battle"", ""hillary"", ""really"", ""bernie"", ""antihillary"", ""vote"", ""jim"", ""webb"", ""sem"", ""st""]]",1,1
"SCOTUS dealt a blow to Hillary Clintons last campaign 'promise'... What is she running on now? Corruption, lies, and deceit. #SemST","[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""scotus"", ""dealt"", ""blow"", ""hillary"", ""clintons"", ""last"", ""campaign"", ""promise"", ""running"", ""corruption"", ""lies"", ""deceit"", ""sem"", ""st""]]",1,1
Hillary can't use a fucking fax machine but you idiots are going to vote for her to be President?  #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""hillary"", ""cant"", ""use"", ""fucking"", ""fax"", ""machine"", ""idiots"", ""going"", ""vote"", ""president"", ""sem"", ""st""]]",1,1
"take faith that almost every political entity around you, whether dissident or not, serves no good purpose #Dempublicans #SemST","[""hillary"", ""clinton""]",0,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""take"", ""faith"", ""almost"", ""every"", ""political"", ""entity"", ""around"", ""whether"", ""dissident"", ""serves"", ""good"", ""purpose"", ""dempublicans"", ""sem"", ""st""]]",0,1
@RandPaul @HillaryClinton you could never dream to be as intelligent as she is #SemST,"[""hillary"", ""clinton""]",1,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""could"", ""never"", ""dream"", ""intelligent"", ""sem"", ""st""]]",1,1
"Let's make Secretary Clinton, President Clinton - @AGMarkHerring @vademocrats #SemST","[""hillary"", ""clinton""]",1,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,"[[""lets"", ""make"", ""secretary"", ""clinton"", ""president"", ""clinton"", ""sem"", ""st""]]",1,1
"Night, sleep tight, don't let Hillary bite. says @Tony_Tickets   ""Nightmares"" is all I say.  #SemST","[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""night"", ""sleep"", ""tight"", ""dont"", ""let"", ""hillary"", ""bite"", ""says"", ""nightmares"", ""say"", ""sem"", ""st""]]",1,1
"@TODAYshow @ChrisChristie is not qualified b/c he eats $82,000 in snacks & b/c of D corruption of #Bridgegate  A BIG FAT BULLY! #SemST","[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""qualified"", ""bc"", ""eats"", ""82"", ""000"", ""snacks"", ""bc"", ""corruption"", ""bridgegate"", ""big"", ""fat"", ""bully"", ""sem"", ""st""]]",0,1
@awadgolf @Crossbearer1956 @ScottSaxman1 This is why I'm not voting for Hillary #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""im"", ""voting"", ""hillary"", ""sem"", ""st""]]",1,1
@jstines3 @bcwilliams92 #Stephens begged for his life & @HillaryClinton @Madam_President is begging for ur vote #NotAChanceInHell #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""stephens"", ""begged"", ""life"", ""begging"", ""ur"", ""vote"", ""ac"", ""hance"", ""hell"", ""sem"", ""st""]]",1,1
@ChrisChristie couldn't run his way out of a paper bag let alone beat #HillaryClinton. Go home Chris u r drunk. #ChrisChristie #SemST,"[""hillary"", ""clinton""]",1,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""couldnt"", ""run"", ""way"", ""paper"", ""bag"", ""let"", ""alone"", ""beat"", ""hillary"", ""clinton"", ""go"", ""home"", ""chris"", ""u"", ""r"", ""drunk"", ""chris"", ""christie"", ""sem"", ""st""]]",1,1
